:=============================================================================================
:IAU Meteor Data Center. List of all meteor showers. Modified by R. Rudawska and T.J.Jopek  =
:=============================================================================================
: Last update: Sat Aug  8 16:11:15 2020
: (65  rows with comments)
:NOTE!  Literature reference. ========
:
:       Since its beginning, the IAM MDC shower database is maintained on an unpaid voluntary basis.
:       Several colleagues have asked us what reference to the shower database they should include in a published paper?
:       The correct references are:
:
:      1) Jopek, T.J.; Kanuchova, Z.; 2017, Planetary and Space Science, Volume 143, p. 3-6
:
:      2) Jopek, T.J.; Kanuchova, Z.; 2014, in The Meteoroids 2013, Proceedings of the Astronomical Conference held at A.M. University,
:          Poznan, Poland, Aug. 26-30, 2013, Eds.: T.J. Jopek, F.J.M. Rietmeijer, J. Watanabe, I.P. Williams,
:          A.M. University Press, 2014, p. 353-364
:
:       3) Jopek, T.J.; Jenniskens, P.M.; in Meteoroids: The Smallest Solar System Bodies, Proceedings of the Meteroids Conference
:           held in Breckenridge, Colorado, USA, May 24-28, 2010. Edited by W.J. Cooke, D.E. Moser, B.F. Hardin, and D. Janches,
:  	   NASA/CP-2011-216469., p. 7-13
:
:=============================================================================================
:LP   -  running number 
:IAUNo - IAU numeral code
:AdNo  - for given shower - number of a set of parameters
:Code  - IAU 3 letter code
:activity  - type of activity: 
:         - annual,
:         - (1965) - shower was active only in 1965,
:         - 1989 outburst, 
:         - ... 
:s  - shower status 
:  -2 shower removed from the MDC lists
:  -1 to be removed from the MDC lists
:   0 single shower, working list  
:   1 single established shower
:   2 to be established shower or group
:   4 member of the group, working list
:   6 member of the established group
:  10  pro-tempore status in the working group
:
:LaSun - ecliptic longitude of the Sun at the pick shower activity,
:Ra    - right asscention of the shower radiant (J2000, deg),
:De    - declination of the shower radiant (J2000, deg),
:dRa   - radiant daily motion in right asscention,
:dDe   - radiant daily motion in declination,
:Vg    - geocentric velocity (Km/sec),
:a     - semimajor axis (AU),
:q     - perihelion distance (AU),
:e     - eccentricity,
:peri  - argument of perihelion (J2000, deg),
:node  - longitude of ascending node (J2000, deg),
:incl  - inclination of the orbit (J2000, deg),
:N     - number of orbits used to calculate mean parameters,
:Group - IAU numerical code of the main complex group,
:CG    - serial number of the member of the complex group,
:Parent body,
:Remarks,
:OTe: observation technique: C-CCD, P-photo, R-radar, T-TV, V-visual,
:Reference.
:Submission date - date of the data submission to the MDC database.  -- NOT yet implemented 

:  LP    IAUNo   AdNo  Code         shower name                        activity    s   LaSun      Ra       De        dRa       dDe       Vg          a         q          e       peri      node      inc         N    Group   CG            Parent body                                                     Remarks                                                                                                                     Ote   References                                                                                          Submission date UTC 
:        10       20        30        40        50        60        70        80        90       100       110       120       130       140       150       160       170       180       190       200       210       220       230       240       250       260       270       280       290       300       310       320       330       340        350       360       370       380       390       400       410       420       430       440       450       460       470       480       490       500       510       520       530       540       550      560       570
+23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789001234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
"00001"|"00001"|"000"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"128.9  "|"306.6  "|"-8.2   "|"0.54   "|"0.26   "|"22.2   "|"2.618  "|"0.602  "|"       "|"266.67 "|"128.9  "|"7.68   "|"00036"|"00000"|"00"|"169P/NEAT (= 2002 EX12)                 "|"                                                                                                                                                      "|"    "|"1) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A>"|"LT"|"SD"
"00002"|"00001"|"001"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"122.3  "|"306.7  "|"-09.3  "|"0.91   "|"0.25   "|"23.4   "|"       "|"0.550  "|"0.768  "|"273.3  "|"122.3  "|"7.7    "|"00269"|"00000"|"00"|"169P/NEAT (= 2002 EX12)                 "|"                                                                                                                                                      "|"R   "|"2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A>"|"LT"|"SD"
"00003"|"00001"|"002"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"123.8  "|"303.4  "|"-10.6  "|"0.75   "|"0.28   "|"22.2   "|"2.540  "|"0.594  "|"       "|"267.6  "|"123.8  "|"7.2    "|"     "|"00000"|"00"|"169P/NEAT (= 2002 EX12)                 "|"                                                                                                                                                      "|"P   "|"3) <A href='http://adsabs.harvard.edu/abs/2001ESASP.495...55H' target=_blank>Hasegawa, 2001</A>"|"LT"|"SD"
"00004"|"00001"|"003"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"129    "|"308.4  "|"-9.6   "|"0.9    "|"0.3    "|"22.8   "|"2.53   "|"0.59   "|"0.77   "|"269.0  "|"127.7  "|"7.0    "|"00021"|"00000"|"00"|"169P/NEAT (= 2002 EX12)                 "|"                                                                                                                                                      "|"    "|"4) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"|"LT"|"SD"
"00005"|"00001"|"004"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"127.9  "|"307.1  "|"-8.9   "|"       "|"       "|"22.6   "|"       "|"0.586  "|"0.770  "|"268.4  "|"127.9  "|"7.4    "|"00022"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"P   "|"5) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
"00006"|"00001"|"005"|"CAP"|"alpha Capricornids                      "|"2002/06 "|" 1"|"123.5  "|"302.9  "|"-9.9   "|"0.66   "|"0.28   "|"22.2   "|"2.35   "|"0.586  "|"0.75   "|"269.2  "|"123.3  "|"7.3    "|"00145"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"R   "|"6) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD"
"00007"|"00001"|"006"|"CAP"|"alpha Capricornids                      "|"2007/08 "|" 1"|"126.1  "|"305.7  "|"-9.4   "|"0.50   "|"0.26   "|"22.4   "|"       "|"0.586  "|"0.770  "|"268.4  "|"127.9  "|"7.4    "|"00122"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"T   "|"7) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>"|"LT"|"SD"
"00008"|"00001"|"007"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"125    "|"305.1  "|"-10.2  "|"0.57   "|"0.27   "|"23.7   "|"       "|"       "|"       "|"       "|"       "|"       "|"02282"|"00000"|"00"|"169P/NEAT (= 2002 EX12)                 "|"                                                                                                                                                      "|"T   "|"8) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...98M' target=_blank>Molau and Rendtel, 2009</A>"|"LT"|"SD"
"00009"|"00001"|"008"|"CAP"|"alpha Capricornids                      "|" annual "|" 1"|"127.0  "|"306.5  "|"-9.2   "|"0.97   "|"0.24   "|"23.0   "|"2.54   "|"0.578  "|"0.774  "|"268.9  "|"125.4  "|"7.5    "|"00646"|"00000"|"00"|"169P/NEAT                               "|"                                                                                                                                                      "|"T   "|"9) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>"|"LT"|"SD"    
"00010"|"00001"|"009"|"CAP"|"alpha Capricornids                      "|" annual "|"-2"|"124.4  "|"303.8  "|"-9.8   "|"       "|"       "|"22.9   "|"2.61   "|"0.582  "|"0.777  "|"268.7  "|"124.4  "|"7.4    "|"02069"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"1) Jenniskens et al., 2018 sub to PSS"|"LT"|"SD"
